marcaCoche,modeloCoche,añoCoche,VINCoche
Mercury,Grand Marquis,1989,1C3CDFDH9FD525634
Chevrolet,Impala,2009,WAUUL98EX6A102015
Ford,Explorer,1993,1D7RE3GK6BS840170
Subaru,Leone,1986,WBA3N7C55FK602952
Ford,E150,2004,3N1AB6AP1AL785200
Honda,S2000,2007,4USFE83527L184961
Mazda,Millenia,2001,YV126MEB2F1030137
Cadillac,Escalade ESV,2003,JH4NA12661T592464
Cadillac,DeVille,2001,1FTEX1CM8CF630062
Mercedes-Benz,190E,1992,JH4DC53093S098504
Chevrolet,TrailBlazer,2006,SALVP1BG2EH559665
Mitsubishi,L300,1988,1GYS3AEF1BR805260
Mitsubishi,Galant,1995,1GYFK23289R170140
Cadillac,Escalade ESV,2007,ZFF75VFA0F0120579
Suzuki,XL-7,2001,JH4CU4F47AC678133
Infiniti,IPL G,2012,WA1AY94LX9D300747
Mitsubishi,Diamante,2005,SCFEBBEL1DG835750
Pontiac,Firebird,1994,SCBCR7ZA5AC523363
Dodge,Ram 2500 Club,1997,JN8AF5MR6CT477533
Nissan,Quest,1997,WAULD64B82N556768
Subaru,Justy,1993,3N1AB6AP0AL256983
Toyota,Corolla,2000,JH4CU2F42DC484831
Mercedes-Benz,S-Class,1999,1FTMF1CW1AF643653
Ford,Thunderbird,1965,1FTWW3CY8AE322379
Honda,Civic,1993,WA1DGAFE9BD920267
Mitsubishi,Lancer Evolution,2005,1G6DX67D790059796
Toyota,Highlander,2009,2C3CDXJG5FH709909
Toyota,Matrix,2007,WVWAP7AN1EE555049
Mazda,Protege,2000,KNADN5A37F6420365
Volkswagen,Golf,2011,3C63D3EL8CG504227
Mazda,626,1999,WAUCVAFR3BA454554
Volvo,S80,2011,WBANA735X4B176001
Mazda,MX-5,1999,WBA3A5G5XEN405511
Mercedes-Benz,CL-Class,2012,2T1BU4EE5BC368403
Mercedes-Benz,CLK-Class,2008,1G6YV34A455636216
Dodge,Ram 2500,2005,JTDKN3DU7F0942063
Mercury,Topaz,1985,WBA3B9G58EN665586
Pontiac,Bonneville,1986,WAUFEBFM5BA102194
Volvo,S40,2001,3VWC17AU2FM939979
Audi,4000s,1986,1C4RDHDG6CC874891
Mitsubishi,Galant,2010,WDDHF8JB2DA372705
Porsche,Boxster,1998,SALFR2BG1EH761417
Ford,Econoline E350,2002,SALGS2TF8FA743294
Mitsubishi,Challenger,2000,WBALM73549E130684
Mitsubishi,Lancer,2012,5GADV23L25D983723
Cadillac,Catera,2001,WAUAF98E66A129772
BMW,3 Series,1995,2T2BK1BA4FC411426
Volkswagen,Passat,2001,WP0AA2A90FS251589
Mazda,MPV,1991,1FTFW1E83AK009646
Jaguar,S-Type,2005,5FNRL5H26EB282803
Mercury,Marquis,1985,1FMCU4K30BK976439
Chrysler,200,2012,1FAHP2D86FG703053
Mercedes-Benz,S-Class,2003,JTEBU4BF0CK612595
Pontiac,Bonneville,1995,3VW4T7AT5EM215675
Land Rover,Defender 110,1993,WVGAV7AX6FW359929
Spyker,C8 Double 12 S,2006,WAUBF78E58A952625
Chevrolet,S10,1997,1C4RDJAG7EC373295
Chevrolet,Silverado 2500,2000,WBA3B5C59DF602004
GMC,Envoy,2002,WAUDH78E98A259057
Honda,Odyssey,1999,JM1GJ1T67E1739580
Tesla,Model S,2012,2HNYD18786H763753
BMW,330,2006,WVGAV7AX5CW193804
Mazda,Tribute,2006,KMHTC6AD0CU586698
Pontiac,Montana,2003,WAUHFBFL2DN243281
Volkswagen,GTI,2012,1ZVBP8AN1A5366368
Mitsubishi,Montero,2000,JN8AZ1MU1CW121137
Chevrolet,Venture,2001,WBA3C3C57DF765154
Volvo,V50,2011,3GYFNDE33FS315389
Lexus,RX,2000,WAUNF98P26A769965
Holden,VS Commodore,1996,1FTWF3C53AE594425
GMC,Canyon,2006,1GYS4MKJ6FR021878
GMC,Yukon XL 2500,2004,WAUAC48H43K916635
Mitsubishi,L300,1990,JM1CW2BL0D0530845
Audi,V8,1994,3GYFNFEY9AS693250
Ford,Thunderbird,1972,1FTMF1E85AF082677
Ford,F250,2007,1NXBU4EE3AZ259628
Ford,Focus,2012,1FMCU9E74AK885071
Dodge,Caravan,2002,WDCGG0EBXFG292156
Ford,Aerostar,1993,1FTEW1CF9FK071251
Volvo,XC60,2010,1G6AC1RXXF0409474
Dodge,Intrepid,2001,1FMEU3BE7AU195635
Ford,F-Series,1992,1GKS1CKJ8FR862811
Volvo,S80,2000,WAUFGBFC6EN595561
Ferrari,599 GTB Fiorano,2007,SCBLC31E81C936726
Toyota,Paseo,1997,JTDKTUD30ED361174
GMC,Sierra 1500,2012,YV1672MK2A2150916
BMW,3 Series,2004,KNAGM4AD0B5939020
Toyota,Previa,1996,1G4HF57978U394972
Ford,Escort,1996,1GD02ZCGXDF811827
Jeep,Liberty,2006,5UXZV4C51CL732355
Infiniti,G,2008,SCFFDCBD6BG247146
Dodge,Caliber,2011,WAUJC58E35A434680
Plymouth,Prowler,2000,3D7LT2ET0BG843042
Mercedes-Benz,SL-Class,1995,5TDDK3DC6ES458566
Pontiac,Firebird,1993,1N6AD0CW3EN085156
Chrysler,Concorde,1999,JN1AZ4EHXCM537149
Mitsubishi,Montero,1994,WAUWGAFB9AN898331
Toyota,FJ Cruiser,2010,1VWAP7A34EC981728
Volvo,C70,2006,5J6TF1H34AL834282
Hummer,H2 SUV,2006,3VWA17AU8FM541781
